지점,지점명,일시,풍속(m/s),풍향(16방위)
112,인천,2019-04-05 01:00,5.7,200
112,인천,2019-04-05 02:00,5.1,180
112,인천,2019-04-05 03:00,5,200
112,인천,2019-04-05 04:00,3.8,200
112,인천,2019-04-05 05:00,3.6,200
112,인천,2019-04-05 06:00,4.2,230
112,인천,2019-04-05 07:00,3.3,250
112,인천,2019-04-05 08:00,2.6,270
112,인천,2019-04-05 09:00,3.8,270
112,인천,2019-04-05 10:00,3.5,230
112,인천,2019-04-05 11:00,2.7,270
112,인천,2019-04-05 12:00,3.5,340
112,인천,2019-04-05 13:00,4.4,290
112,인천,2019-04-05 14:00,5.9,270
112,인천,2019-04-05 15:00,4.9,270
112,인천,2019-04-05 16:00,6.1,270
112,인천,2019-04-05 17:00,5.7,270
112,인천,2019-04-05 18:00,5.7,270
112,인천,2019-04-05 19:00,4.2,270
112,인천,2019-04-05 20:00,2.1,290
112,인천,2019-04-05 21:00,3.6,320
112,인천,2019-04-05 22:00,3.6,340
112,인천,2019-04-05 23:00,5.5,340
112,인천,2019-04-06 00:00,3.5,360
