지점,지점명,일시,풍속(m/s),풍향(16방위)
108,서울,2019-04-05 01:00,3.3,200
108,서울,2019-04-05 02:00,3.1,230
108,서울,2019-04-05 03:00,2.2,230
108,서울,2019-04-05 04:00,1.8,270
108,서울,2019-04-05 05:00,2.3,230
108,서울,2019-04-05 06:00,2.7,200
108,서울,2019-04-05 07:00,2.1,230
108,서울,2019-04-05 08:00,1.2,230
108,서울,2019-04-05 09:00,1.6,250
108,서울,2019-04-05 10:00,3,250
108,서울,2019-04-05 11:00,2.9,290
108,서울,2019-04-05 12:00,3,290
108,서울,2019-04-05 13:00,4.1,270
108,서울,2019-04-05 14:00,3.9,250
108,서울,2019-04-05 15:00,3.8,250
108,서울,2019-04-05 16:00,3.6,250
108,서울,2019-04-05 17:00,4.3,270
108,서울,2019-04-05 18:00,2.6,270
108,서울,2019-04-05 19:00,3.3,270
108,서울,2019-04-05 20:00,4.1,290
108,서울,2019-04-05 21:00,3.6,290
108,서울,2019-04-05 22:00,1.6,320
108,서울,2019-04-05 23:00,1.8,320
108,서울,2019-04-06 00:00,.6,290
