瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
127,面林,2019-04-05 01:00,1.2,90
127,面林,2019-04-05 02:00,1.1,90
127,面林,2019-04-05 03:00,.6,50
127,面林,2019-04-05 04:00,.7,140
127,面林,2019-04-05 05:00,.9,50
127,面林,2019-04-05 06:00,.7,360
127,面林,2019-04-05 07:00,.4,0
127,面林,2019-04-05 08:00,1.1,230
127,面林,2019-04-05 09:00,.2,0
127,面林,2019-04-05 10:00,2.2,270
127,面林,2019-04-05 11:00,2.7,250
127,面林,2019-04-05 12:00,3.7,250
127,面林,2019-04-05 13:00,2.5,270
127,面林,2019-04-05 14:00,4,250
127,面林,2019-04-05 15:00,4.8,270
127,面林,2019-04-05 16:00,4.5,270
127,面林,2019-04-05 17:00,4.7,270
127,面林,2019-04-05 18:00,4.2,270
127,面林,2019-04-05 19:00,2.7,270
127,面林,2019-04-05 20:00,1.8,270
127,面林,2019-04-05 21:00,2.4,250
127,面林,2019-04-05 22:00,.8,270
127,面林,2019-04-05 23:00,.2,0
127,面林,2019-04-06 00:00,1,90
