지점,지점명,일시,풍속(m/s),풍향(16방위)
201,강화,2019-04-05 01:00,6.1,250
201,강화,2019-04-05 02:00,5.5,250
201,강화,2019-04-05 03:00,4.5,230
201,강화,2019-04-05 04:00,5,230
201,강화,2019-04-05 05:00,4.8,250
201,강화,2019-04-05 06:00,4.6,250
201,강화,2019-04-05 07:00,2.5,250
201,강화,2019-04-05 08:00,2.8,270
201,강화,2019-04-05 09:00,2.8,250
201,강화,2019-04-05 10:00,3.9,230
201,강화,2019-04-05 11:00,5.5,230
201,강화,2019-04-05 12:00,4.5,230
201,강화,2019-04-05 13:00,3.6,270
201,강화,2019-04-05 14:00,4.5,250
201,강화,2019-04-05 15:00,4.4,270
201,강화,2019-04-05 16:00,3.9,270
201,강화,2019-04-05 17:00,4.6,250
201,강화,2019-04-05 18:00,3.9,250
201,강화,2019-04-05 19:00,1.5,270
201,강화,2019-04-05 20:00,1.5,250
201,강화,2019-04-05 21:00,.9,360
201,강화,2019-04-05 22:00,2.3,290
201,강화,2019-04-05 23:00,3.4,320
201,강화,2019-04-06 00:00,1.1,70
