지점,지점명,일시,풍속(m/s),풍향(16방위)
172,고창,2019-04-05 01:00,1.9,200
172,고창,2019-04-05 02:00,2.1,180
172,고창,2019-04-05 03:00,2.5,180
172,고창,2019-04-05 04:00,2.4,180
172,고창,2019-04-05 05:00,2.8,180
172,고창,2019-04-05 06:00,2.7,200
172,고창,2019-04-05 07:00,2.8,180
172,고창,2019-04-05 08:00,3.8,200
172,고창,2019-04-05 09:00,4,230
172,고창,2019-04-05 10:00,3.9,250
172,고창,2019-04-05 11:00,7.1,270
172,고창,2019-04-05 12:00,5.4,270
172,고창,2019-04-05 13:00,3.5,270
172,고창,2019-04-05 14:00,2.7,270
172,고창,2019-04-05 15:00,4.6,290
172,고창,2019-04-05 16:00,5,320
172,고창,2019-04-05 17:00,4.4,290
172,고창,2019-04-05 18:00,4.3,320
172,고창,2019-04-05 19:00,1.2,20
172,고창,2019-04-05 20:00,1.5,290
172,고창,2019-04-05 21:00,1.3,140
172,고창,2019-04-05 22:00,.6,230
172,고창,2019-04-05 23:00,.9,160
172,고창,2019-04-06 00:00,.1,0
