지점,지점명,일시,풍속(m/s),풍향(16방위)
294,거제,2019-04-05 01:00,2.7,290
294,거제,2019-04-05 02:00,2.8,340
294,거제,2019-04-05 03:00,2.7,250
294,거제,2019-04-05 04:00,2.2,230
294,거제,2019-04-05 05:00,3,230
294,거제,2019-04-05 06:00,3.1,230
294,거제,2019-04-05 07:00,5.6,200
294,거제,2019-04-05 08:00,3.8,250
294,거제,2019-04-05 09:00,3.8,230
294,거제,2019-04-05 10:00,3.7,230
294,거제,2019-04-05 11:00,4,230
294,거제,2019-04-05 12:00,4.5,230
294,거제,2019-04-05 13:00,4.1,180
294,거제,2019-04-05 14:00,4.3,160
294,거제,2019-04-05 15:00,4.1,180
294,거제,2019-04-05 16:00,4.8,200
294,거제,2019-04-05 17:00,5,200
294,거제,2019-04-05 18:00,5.9,200
294,거제,2019-04-05 19:00,4.4,230
294,거제,2019-04-05 20:00,3.5,230
294,거제,2019-04-05 21:00,.6,140
294,거제,2019-04-05 22:00,.4,0
294,거제,2019-04-05 23:00,3.1,250
294,거제,2019-04-06 00:00,2.9,250
