지점,지점명,일시,풍속(m/s),풍향(16방위)
140,군산,2019-04-05 01:00,2.8,140
140,군산,2019-04-05 02:00,3,140
140,군산,2019-04-05 03:00,3.5,140
140,군산,2019-04-05 04:00,3.5,140
140,군산,2019-04-05 05:00,2.8,140
140,군산,2019-04-05 06:00,3.2,140
140,군산,2019-04-05 07:00,4.5,160
140,군산,2019-04-05 08:00,1.8,160
140,군산,2019-04-05 09:00,4.3,230
140,군산,2019-04-05 10:00,4.6,230
140,군산,2019-04-05 11:00,4.2,270
140,군산,2019-04-05 12:00,3.4,270
140,군산,2019-04-05 13:00,3.8,290
140,군산,2019-04-05 14:00,3.5,290
140,군산,2019-04-05 15:00,4.4,270
140,군산,2019-04-05 16:00,3.8,290
140,군산,2019-04-05 17:00,4.8,290
140,군산,2019-04-05 18:00,4.4,290
140,군산,2019-04-05 19:00,2.4,290
140,군산,2019-04-05 20:00,2.4,320
140,군산,2019-04-05 21:00,1,320
140,군산,2019-04-05 22:00,1.2,270
140,군산,2019-04-05 23:00,0,0
140,군산,2019-04-06 00:00,0,0
