ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§)
105,°­¸ª,2019-04-05 01:00,11.6,230
105,°­¸ª,2019-04-05 02:00,6.7,230
105,°­¸ª,2019-04-05 03:00,2.9,250
105,°­¸ª,2019-04-05 04:00,1.9,250
105,°­¸ª,2019-04-05 05:00,7.7,230
105,°­¸ª,2019-04-05 06:00,7.2,230
105,°­¸ª,2019-04-05 07:00,5.7,200
105,°­¸ª,2019-04-05 08:00,4,200
105,°­¸ª,2019-04-05 09:00,5.1,200
105,°­¸ª,2019-04-05 10:00,5,230
105,°­¸ª,2019-04-05 11:00,5.3,230
105,°­¸ª,2019-04-05 12:00,3.3,20
105,°­¸ª,2019-04-05 13:00,3,180
105,°­¸ª,2019-04-05 14:00,6.2,250
105,°­¸ª,2019-04-05 15:00,3,50
105,°­¸ª,2019-04-05 16:00,2.8,360
105,°­¸ª,2019-04-05 17:00,1.3,20
105,°­¸ª,2019-04-05 18:00,1.7,70
105,°­¸ª,2019-04-05 19:00,2,110
105,°­¸ª,2019-04-05 20:00,2,230
105,°­¸ª,2019-04-05 21:00,2.2,250
105,°­¸ª,2019-04-05 22:00,2.7,250
105,°­¸ª,2019-04-05 23:00,2,250
105,°­¸ª,2019-04-06 00:00,3.6,250
