지점,지점명,일시,풍속(m/s),풍향(16방위)
22107,마라도,2019-04-05 1:00,6,246
22107,마라도,2019-04-05 2:00,6.3,248
22107,마라도,2019-04-05 3:00,6.3,259
22107,마라도,2019-04-05 4:00,6.1,251
22107,마라도,2019-04-05 5:00,5.6,258
22107,마라도,2019-04-05 6:00,5.2,260
22107,마라도,2019-04-05 7:00,4,274
22107,마라도,2019-04-05 8:00,4,304
22107,마라도,2019-04-05 9:00,4.3,313
22107,마라도,2019-04-05 10:00,4.9,301
22107,마라도,2019-04-05 11:00,4.8,295
22107,마라도,2019-04-05 12:00,4.4,299
22107,마라도,2019-04-05 13:00,4.8,282
22107,마라도,2019-04-05 14:00,5.4,295
22107,마라도,2019-04-05 15:00,6,288
22107,마라도,2019-04-05 16:00,5.9,281
22107,마라도,2019-04-05 17:00,6.5,292
22107,마라도,2019-04-05 18:00,6.5,292
22107,마라도,2019-04-05 19:00,5.6,307
22107,마라도,2019-04-05 20:00,4.1,292
22107,마라도,2019-04-05 21:00,4.3,283
22107,마라도,2019-04-05 22:00,5.1,286
22107,마라도,2019-04-05 23:00,5.3,285
22107,마라도,2019-04-06 0:00,4.8,292
