지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
108,서울,2019-04-05 01:00,29
108,서울,2019-04-05 02:00,35
108,서울,2019-04-05 03:00,28
108,서울,2019-04-05 04:00,34
108,서울,2019-04-05 05:00,36
108,서울,2019-04-05 06:00,42
108,서울,2019-04-05 07:00,51
108,서울,2019-04-05 08:00,63
108,서울,2019-04-05 09:00,60
108,서울,2019-04-05 10:00,82
108,서울,2019-04-05 11:00,66
108,서울,2019-04-05 12:00,44
108,서울,2019-04-05 13:00,55
108,서울,2019-04-05 14:00,70
108,서울,2019-04-05 15:00,92
108,서울,2019-04-05 16:00,79
108,서울,2019-04-05 17:00,65
108,서울,2019-04-05 18:00,44
108,서울,2019-04-05 19:00,47
108,서울,2019-04-05 20:00,58
108,서울,2019-04-05 21:00,57
108,서울,2019-04-05 22:00,46
108,서울,2019-04-05 23:00,49
108,서울,2019-04-06 00:00,44
