지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
268,진도군,2019-04-05 01:00,34
268,진도군,2019-04-05 02:00,36
268,진도군,2019-04-05 03:00,27
268,진도군,2019-04-05 04:00,21
268,진도군,2019-04-05 05:00,18
268,진도군,2019-04-05 06:00,27
268,진도군,2019-04-05 07:00,35
268,진도군,2019-04-05 08:00,37
268,진도군,2019-04-05 09:00,39
268,진도군,2019-04-05 10:00,32
268,진도군,2019-04-05 11:00,41
268,진도군,2019-04-05 12:00,60
268,진도군,2019-04-05 13:00,57
268,진도군,2019-04-05 14:00,45
268,진도군,2019-04-05 15:00,46
268,진도군,2019-04-05 16:00,52
268,진도군,2019-04-05 17:00,66
268,진도군,2019-04-05 18:00,85
268,진도군,2019-04-05 19:00,95
268,진도군,2019-04-05 20:00,95
268,진도군,2019-04-05 21:00,75
268,진도군,2019-04-05 22:00,67
268,진도군,2019-04-05 23:00,62
268,진도군,2019-04-06 00:00,60
