지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
192,진주,2019-04-05 01:00,20
192,진주,2019-04-05 02:00,21
192,진주,2019-04-05 03:00,20
192,진주,2019-04-05 04:00,20
192,진주,2019-04-05 05:00,22
192,진주,2019-04-05 06:00,20
192,진주,2019-04-05 07:00,22
192,진주,2019-04-05 08:00,17
192,진주,2019-04-05 09:00,24
192,진주,2019-04-05 10:00,20
192,진주,2019-04-05 11:00,36
192,진주,2019-04-05 12:00,55
192,진주,2019-04-05 13:00,84
192,진주,2019-04-05 14:00,78
192,진주,2019-04-05 15:00,79
192,진주,2019-04-05 16:00,88
192,진주,2019-04-05 17:00,85
192,진주,2019-04-05 18:00,116
192,진주,2019-04-05 19:00,101
192,진주,2019-04-05 20:00,86
192,진주,2019-04-05 21:00,70
192,진주,2019-04-05 22:00,61
192,진주,2019-04-05 23:00,53
192,진주,2019-04-06 00:00,42
