지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
273,문경,2019-04-05 01:00,26
273,문경,2019-04-05 02:00,17
273,문경,2019-04-05 03:00,13
273,문경,2019-04-05 04:00,9
273,문경,2019-04-05 05:00,8
273,문경,2019-04-05 06:00,9
273,문경,2019-04-05 07:00,13
273,문경,2019-04-05 08:00,15
273,문경,2019-04-05 09:00,28
273,문경,2019-04-05 10:00,59
273,문경,2019-04-05 11:00,62
273,문경,2019-04-05 12:00,56
273,문경,2019-04-05 13:00,64
273,문경,2019-04-05 14:00,86
273,문경,2019-04-05 15:00,85
273,문경,2019-04-05 16:00,76
273,문경,2019-04-05 17:00,80
273,문경,2019-04-05 18:00,96
273,문경,2019-04-05 19:00,110
273,문경,2019-04-05 20:00,95
273,문경,2019-04-05 21:00,79
273,문경,2019-04-05 22:00,73
273,문경,2019-04-05 23:00,66
273,문경,2019-04-06 00:00,57
