지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
115,울릉도독도(감),2019-04-05 01:00,39
115,울릉도독도(감),2019-04-05 02:00,40
115,울릉도독도(감),2019-04-05 03:00,34
115,울릉도독도(감),2019-04-05 04:00,35
115,울릉도독도(감),2019-04-05 05:00,21
115,울릉도독도(감),2019-04-05 06:00,36
115,울릉도독도(감),2019-04-05 07:00,41
115,울릉도독도(감),2019-04-05 08:00,29
115,울릉도독도(감),2019-04-05 09:00,38
115,울릉도독도(감),2019-04-05 10:00,60
115,울릉도독도(감),2019-04-05 11:00,69
115,울릉도독도(감),2019-04-05 12:00,77
115,울릉도독도(감),2019-04-05 13:00,79
115,울릉도독도(감),2019-04-05 14:00,63
115,울릉도독도(감),2019-04-05 15:00,81
115,울릉도독도(감),2019-04-05 16:00,76
115,울릉도독도(감),2019-04-05 17:00,100
115,울릉도독도(감),2019-04-05 18:00,120
115,울릉도독도(감),2019-04-05 19:00,99
115,울릉도독도(감),2019-04-05 20:00,64
115,울릉도독도(감),2019-04-05 21:00,49
115,울릉도독도(감),2019-04-05 22:00,43
115,울릉도독도(감),2019-04-05 23:00,64
115,울릉도독도(감),2019-04-06 00:00,84
