지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
90,속초,2019-04-05 01:00,2852
90,속초,2019-04-05 02:00,4050
90,속초,2019-04-05 03:00,1194
90,속초,2019-04-05 04:00,104
90,속초,2019-04-05 05:00,56
90,속초,2019-04-05 06:00,83
90,속초,2019-04-05 07:00,210
90,속초,2019-04-05 08:00,72
90,속초,2019-04-05 09:00,68
90,속초,2019-04-05 10:00,73
90,속초,2019-04-05 11:00,66
90,속초,2019-04-05 12:00,60
90,속초,2019-04-05 13:00,75
90,속초,2019-04-05 14:00,110
90,속초,2019-04-05 15:00,122
90,속초,2019-04-05 16:00,100
90,속초,2019-04-05 17:00,86
90,속초,2019-04-05 18:00,82
90,속초,2019-04-05 19:00,87
90,속초,2019-04-05 20:00,90
90,속초,2019-04-05 21:00,97
90,속초,2019-04-05 22:00,98
90,속초,2019-04-05 23:00,76
90,속초,2019-04-06 00:00,58
