지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
185,고산,2019-04-05 01:00,18
185,고산,2019-04-05 02:00,18
185,고산,2019-04-05 03:00,18
185,고산,2019-04-05 04:00,22
185,고산,2019-04-05 05:00,25
185,고산,2019-04-05 06:00,24
185,고산,2019-04-05 07:00,32
185,고산,2019-04-05 08:00,25
185,고산,2019-04-05 09:00,28
185,고산,2019-04-05 10:00,39
185,고산,2019-04-05 11:00,42
185,고산,2019-04-05 12:00,51
185,고산,2019-04-05 13:00,60
185,고산,2019-04-05 14:00,65
185,고산,2019-04-05 15:00,61
185,고산,2019-04-05 16:00,69
185,고산,2019-04-05 17:00,72
185,고산,2019-04-05 18:00,52
185,고산,2019-04-05 19:00,55
185,고산,2019-04-05 20:00,41
185,고산,2019-04-05 21:00,34
185,고산,2019-04-05 22:00,39
185,고산,2019-04-05 23:00,36
185,고산,2019-04-06 00:00,47
