지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
146,전주,2019-04-05 01:00,53
146,전주,2019-04-05 02:00,44
146,전주,2019-04-05 03:00,40
146,전주,2019-04-05 04:00,45
146,전주,2019-04-05 05:00,38
146,전주,2019-04-05 06:00,35
146,전주,2019-04-05 07:00,27
146,전주,2019-04-05 08:00,22
146,전주,2019-04-05 09:00,33
146,전주,2019-04-05 10:00,46
146,전주,2019-04-05 11:00,68
146,전주,2019-04-05 12:00,71
146,전주,2019-04-05 13:00,82
146,전주,2019-04-05 14:00,79
146,전주,2019-04-05 15:00,73
146,전주,2019-04-05 16:00,69
146,전주,2019-04-05 17:00,79
146,전주,2019-04-05 18:00,83
146,전주,2019-04-05 19:00,82
146,전주,2019-04-05 20:00,80
146,전주,2019-04-05 21:00,77
146,전주,2019-04-05 22:00,60
146,전주,2019-04-05 23:00,55
146,전주,2019-04-06 00:00,57
