지점,지점명,일시,풍속(m/s),풍향(16방위)
90,속초,2019-04-05 01:00,6,270
90,속초,2019-04-05 02:00,4.3,290
90,속초,2019-04-05 03:00,3.1,320
90,속초,2019-04-05 04:00,4.6,290
90,속초,2019-04-05 05:00,3.1,270
90,속초,2019-04-05 06:00,3.9,270
90,속초,2019-04-05 07:00,4,270
90,속초,2019-04-05 08:00,3.6,270
90,속초,2019-04-05 09:00,4.9,270
90,속초,2019-04-05 10:00,4.7,290
90,속초,2019-04-05 11:00,5.8,290
90,속초,2019-04-05 12:00,4.2,290
90,속초,2019-04-05 13:00,2.8,90
90,속초,2019-04-05 14:00,4.4,50
90,속초,2019-04-05 15:00,2.6,20
90,속초,2019-04-05 16:00,.9,20
90,속초,2019-04-05 17:00,2.1,160
90,속초,2019-04-05 18:00,1.8,160
90,속초,2019-04-05 19:00,1.5,180
90,속초,2019-04-05 20:00,1.3,230
90,속초,2019-04-05 21:00,.7,250
90,속초,2019-04-05 22:00,1.2,270
90,속초,2019-04-05 23:00,1.4,270
90,속초,2019-04-06 00:00,1.3,320
