지점,지점명,일시,풍속(m/s),풍향(16방위)
188,성산,2019-04-05 01:00,2.1,290
188,성산,2019-04-05 02:00,1.2,360
188,성산,2019-04-05 03:00,.9,360
188,성산,2019-04-05 04:00,.4,0
188,성산,2019-04-05 05:00,1,360
188,성산,2019-04-05 06:00,.9,360
188,성산,2019-04-05 07:00,1,360
188,성산,2019-04-05 08:00,.8,50
188,성산,2019-04-05 09:00,2.2,160
188,성산,2019-04-05 10:00,3.9,230
188,성산,2019-04-05 11:00,3.7,200
188,성산,2019-04-05 12:00,2.8,180
188,성산,2019-04-05 13:00,2.6,200
188,성산,2019-04-05 14:00,3.1,200
188,성산,2019-04-05 15:00,3.8,200
188,성산,2019-04-05 16:00,2.7,180
188,성산,2019-04-05 17:00,2.7,360
188,성산,2019-04-05 18:00,5.5,340
188,성산,2019-04-05 19:00,2.8,290
188,성산,2019-04-05 20:00,1.8,290
188,성산,2019-04-05 21:00,1.6,290
188,성산,2019-04-05 22:00,1.8,340
188,성산,2019-04-05 23:00,2.1,20
188,성산,2019-04-06 00:00,.6,360
