지점,지점명,일시,풍속(m/s),풍향(16방위)
217,정선군,2019-04-05 01:00,3.5,360
217,정선군,2019-04-05 02:00,3.8,20
217,정선군,2019-04-05 03:00,7.1,20
217,정선군,2019-04-05 04:00,7,20
217,정선군,2019-04-05 05:00,7.2,20
217,정선군,2019-04-05 06:00,4.4,20
217,정선군,2019-04-05 07:00,5.9,20
217,정선군,2019-04-05 08:00,6.2,20
217,정선군,2019-04-05 09:00,6,20
217,정선군,2019-04-05 10:00,1.3,340
217,정선군,2019-04-05 11:00,1.5,180
217,정선군,2019-04-05 12:00,2.3,180
217,정선군,2019-04-05 13:00,2.5,110
217,정선군,2019-04-05 14:00,5.7,20
217,정선군,2019-04-05 15:00,6.2,20
217,정선군,2019-04-05 16:00,5.9,50
217,정선군,2019-04-05 17:00,6.4,20
217,정선군,2019-04-05 18:00,3.7,20
217,정선군,2019-04-05 19:00,1.4,230
217,정선군,2019-04-05 20:00,1,270
217,정선군,2019-04-05 21:00,1.5,320
217,정선군,2019-04-05 22:00,.9,290
217,정선군,2019-04-05 23:00,.6,320
217,정선군,2019-04-06 00:00,1.3,320
