지점,지점명,일시,풍속(m/s),풍향(16방위)
106,동해,2019-04-05 01:00,9.1,250
106,동해,2019-04-05 02:00,9.9,270
106,동해,2019-04-05 03:00,7.5,250
106,동해,2019-04-05 04:00,4.8,250
106,동해,2019-04-05 05:00,4.3,230
106,동해,2019-04-05 06:00,5,250
106,동해,2019-04-05 07:00,3,320
106,동해,2019-04-05 08:00,1.8,340
106,동해,2019-04-05 09:00,1.9,340
106,동해,2019-04-05 10:00,3,270
106,동해,2019-04-05 11:00,3.5,200
106,동해,2019-04-05 12:00,4.6,290
106,동해,2019-04-05 13:00,6.7,50
106,동해,2019-04-05 14:00,5.4,50
106,동해,2019-04-05 15:00,2.7,90
106,동해,2019-04-05 16:00,3,70
106,동해,2019-04-05 17:00,2.3,70
106,동해,2019-04-05 18:00,1.7,20
106,동해,2019-04-05 19:00,.4,0
106,동해,2019-04-05 20:00,1.4,270
106,동해,2019-04-05 21:00,1.7,250
106,동해,2019-04-05 22:00,2.2,250
106,동해,2019-04-05 23:00,1.1,250
106,동해,2019-04-06 00:00,1.8,250
