瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
131,没林,2019-04-05 01:00,1.8,200
131,没林,2019-04-05 02:00,1.6,160
131,没林,2019-04-05 03:00,.9,160
131,没林,2019-04-05 04:00,.2,0
131,没林,2019-04-05 05:00,1.5,230
131,没林,2019-04-05 06:00,1.8,230
131,没林,2019-04-05 07:00,1.9,230
131,没林,2019-04-05 08:00,2.4,250
131,没林,2019-04-05 09:00,1.4,250
131,没林,2019-04-05 10:00,2.3,250
131,没林,2019-04-05 11:00,2.9,230
131,没林,2019-04-05 12:00,2.7,230
131,没林,2019-04-05 13:00,2.2,230
131,没林,2019-04-05 14:00,2.7,250
131,没林,2019-04-05 15:00,2.5,290
131,没林,2019-04-05 16:00,3,320
131,没林,2019-04-05 17:00,3.4,320
131,没林,2019-04-05 18:00,2.8,320
131,没林,2019-04-05 19:00,1.9,290
131,没林,2019-04-05 20:00,1.9,290
131,没林,2019-04-05 21:00,1.7,290
131,没林,2019-04-05 22:00,.8,200
131,没林,2019-04-05 23:00,.9,270
131,没林,2019-04-06 00:00,1.2,250
