瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
276,没价焙,2019-04-05 01:00,1.7,230
276,没价焙,2019-04-05 02:00,0,0
276,没价焙,2019-04-05 03:00,0,0
276,没价焙,2019-04-05 04:00,.1,0
276,没价焙,2019-04-05 05:00,0,0
276,没价焙,2019-04-05 06:00,1.2,90
276,没价焙,2019-04-05 07:00,.7,90
276,没价焙,2019-04-05 08:00,.5,70
276,没价焙,2019-04-05 09:00,4.9,270
276,没价焙,2019-04-05 10:00,4.5,270
276,没价焙,2019-04-05 11:00,4.9,270
276,没价焙,2019-04-05 12:00,4.1,270
276,没价焙,2019-04-05 13:00,4.9,250
276,没价焙,2019-04-05 14:00,5.4,270
276,没价焙,2019-04-05 15:00,6.6,270
276,没价焙,2019-04-05 16:00,5.4,250
276,没价焙,2019-04-05 17:00,5.7,250
276,没价焙,2019-04-05 18:00,3.8,270
276,没价焙,2019-04-05 19:00,2.5,270
276,没价焙,2019-04-05 20:00,2.3,270
276,没价焙,2019-04-05 21:00,1.9,270
276,没价焙,2019-04-05 22:00,.2,0
276,没价焙,2019-04-05 23:00,.1,0
276,没价焙,2019-04-06 00:00,.1,0
