지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
119,수원,2019-04-05 01:00,28
119,수원,2019-04-05 02:00,30
119,수원,2019-04-05 03:00,23
119,수원,2019-04-05 04:00,28
119,수원,2019-04-05 05:00,33
119,수원,2019-04-05 06:00,28
119,수원,2019-04-05 07:00,35
119,수원,2019-04-05 08:00,49
119,수원,2019-04-05 09:00,75
119,수원,2019-04-05 10:00,84
119,수원,2019-04-05 11:00,65
119,수원,2019-04-05 12:00,62
119,수원,2019-04-05 13:00,69
119,수원,2019-04-05 14:00,68
119,수원,2019-04-05 15:00,88
119,수원,2019-04-05 16:00,93
119,수원,2019-04-05 17:00,71
119,수원,2019-04-05 18:00,55
119,수원,2019-04-05 19:00,41
119,수원,2019-04-05 20:00,46
119,수원,2019-04-05 21:00,50
119,수원,2019-04-05 22:00,49
119,수원,2019-04-05 23:00,57
119,수원,2019-04-06 00:00,46
