지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
102,백령도,2019-04-05 01:00,29
102,백령도,2019-04-05 02:00,45
102,백령도,2019-04-05 03:00,50
102,백령도,2019-04-05 04:00,59
102,백령도,2019-04-05 05:00,61
102,백령도,2019-04-05 06:00,67
102,백령도,2019-04-05 07:00,101
102,백령도,2019-04-05 08:00,144
102,백령도,2019-04-05 09:00,166
102,백령도,2019-04-05 10:00,175
102,백령도,2019-04-05 11:00,154
102,백령도,2019-04-05 12:00,119
102,백령도,2019-04-05 13:00,134
102,백령도,2019-04-05 14:00,131
102,백령도,2019-04-05 15:00,92
102,백령도,2019-04-05 16:00,72
102,백령도,2019-04-05 17:00,81
102,백령도,2019-04-05 18:00,81
102,백령도,2019-04-05 19:00,74
102,백령도,2019-04-05 20:00,88
102,백령도,2019-04-05 21:00,72
102,백령도,2019-04-05 22:00,60
102,백령도,2019-04-05 23:00,69
102,백령도,2019-04-06 00:00,86
