지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
229,북격렬비도,2019-04-05 01:00,34
229,북격렬비도,2019-04-05 02:00,23
229,북격렬비도,2019-04-05 03:00,23
229,북격렬비도,2019-04-05 04:00,23
229,북격렬비도,2019-04-05 05:00,30
229,북격렬비도,2019-04-05 06:00,43
229,북격렬비도,2019-04-05 07:00,49
229,북격렬비도,2019-04-05 08:00,58
229,북격렬비도,2019-04-05 10:00,123
229,북격렬비도,2019-04-05 11:00,98
229,북격렬비도,2019-04-05 12:00,193
229,북격렬비도,2019-04-05 13:00,191
229,북격렬비도,2019-04-05 14:00,179
229,북격렬비도,2019-04-05 15:00,159
229,북격렬비도,2019-04-05 16:00,136
229,북격렬비도,2019-04-05 17:00,129
229,북격렬비도,2019-04-05 18:00,109
229,북격렬비도,2019-04-05 19:00,125
229,북격렬비도,2019-04-05 20:00,104
229,북격렬비도,2019-04-05 21:00,69
229,북격렬비도,2019-04-05 22:00,71
229,북격렬비도,2019-04-05 23:00,80
229,북격렬비도,2019-04-06 00:00,73
