지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
130,울진,2019-04-05 01:00,25
130,울진,2019-04-05 02:00,32
130,울진,2019-04-05 03:00,35
130,울진,2019-04-05 04:00,29
130,울진,2019-04-05 05:00,27
130,울진,2019-04-05 06:00,19
130,울진,2019-04-05 07:00,16
130,울진,2019-04-05 08:00,15
130,울진,2019-04-05 09:00,29
130,울진,2019-04-05 10:00,44
130,울진,2019-04-05 11:00,42
130,울진,2019-04-05 12:00,38
130,울진,2019-04-05 13:00,53
130,울진,2019-04-05 14:00,54
130,울진,2019-04-05 15:00,57
130,울진,2019-04-05 16:00,70
130,울진,2019-04-05 17:00,63
130,울진,2019-04-05 18:00,75
130,울진,2019-04-05 19:00,100
130,울진,2019-04-05 20:00,97
130,울진,2019-04-05 21:00,94
130,울진,2019-04-05 22:00,81
130,울진,2019-04-05 23:00,76
130,울진,2019-04-06 00:00,75
