지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
232,천안,2019-04-05 01:00,16
232,천안,2019-04-05 03:00,10
232,천안,2019-04-05 04:00,14
232,천안,2019-04-05 05:00,15
232,천안,2019-04-05 06:00,19
232,천안,2019-04-05 07:00,22
232,천안,2019-04-05 08:00,26
232,천안,2019-04-05 09:00,32
232,천안,2019-04-05 10:00,43
232,천안,2019-04-05 11:00,46
232,천안,2019-04-05 12:00,50
232,천안,2019-04-05 13:00,83
232,천안,2019-04-05 14:00,119
232,천안,2019-04-05 15:00,141
232,천안,2019-04-05 16:00,171
232,천안,2019-04-05 17:00,174
232,천안,2019-04-05 18:00,151
232,천안,2019-04-05 19:00,122
232,천안,2019-04-05 20:00,88
232,천안,2019-04-05 21:00,81
232,천안,2019-04-05 22:00,58
232,천안,2019-04-05 23:00,53
232,천안,2019-04-06 00:00,51
