지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
201,강화,2019-04-05 01:00,26
201,강화,2019-04-05 02:00,30
201,강화,2019-04-05 03:00,31
201,강화,2019-04-05 04:00,37
201,강화,2019-04-05 05:00,38
201,강화,2019-04-05 06:00,44
201,강화,2019-04-05 07:00,53
201,강화,2019-04-05 08:00,57
201,강화,2019-04-05 09:00,56
201,강화,2019-04-05 10:00,62
201,강화,2019-04-05 11:00,85
201,강화,2019-04-05 12:00,134
201,강화,2019-04-05 13:00,164
201,강화,2019-04-05 14:00,113
201,강화,2019-04-05 15:00,120
201,강화,2019-04-05 16:00,63
201,강화,2019-04-05 17:00,54
201,강화,2019-04-05 18:00,72
201,강화,2019-04-05 19:00,80
201,강화,2019-04-05 20:00,54
201,강화,2019-04-05 21:00,62
201,강화,2019-04-05 22:00,67
201,강화,2019-04-05 23:00,70
201,강화,2019-04-06 00:00,63
