지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
143,대구,2019-04-05 01:00,19
143,대구,2019-04-05 02:00,17
143,대구,2019-04-05 03:00,18
143,대구,2019-04-05 04:00,15
143,대구,2019-04-05 05:00,24
143,대구,2019-04-05 06:00,21
143,대구,2019-04-05 07:00,36
143,대구,2019-04-05 08:00,34
143,대구,2019-04-05 09:00,28
143,대구,2019-04-05 10:00,29
143,대구,2019-04-05 11:00,52
143,대구,2019-04-05 12:00,61
143,대구,2019-04-05 13:00,74
143,대구,2019-04-05 14:00,91
143,대구,2019-04-05 15:00,142
143,대구,2019-04-05 16:00,147
143,대구,2019-04-05 17:00,122
143,대구,2019-04-05 18:00,113
143,대구,2019-04-05 19:00,78
143,대구,2019-04-05 20:00,47
143,대구,2019-04-05 21:00,35
143,대구,2019-04-05 22:00,34
143,대구,2019-04-05 23:00,57
143,대구,2019-04-06 00:00,65
