지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
132,안면도(감),2019-04-05 01:00,27
132,안면도(감),2019-04-05 02:00,35
132,안면도(감),2019-04-05 03:00,43
132,안면도(감),2019-04-05 04:00,49
132,안면도(감),2019-04-05 05:00,52
132,안면도(감),2019-04-05 06:00,60
132,안면도(감),2019-04-05 07:00,50
132,안면도(감),2019-04-05 08:00,57
132,안면도(감),2019-04-05 09:00,61
132,안면도(감),2019-04-05 10:00,67
132,안면도(감),2019-04-05 11:00,91
132,안면도(감),2019-04-05 12:00,107
132,안면도(감),2019-04-05 13:00,109
132,안면도(감),2019-04-05 14:00,106
132,안면도(감),2019-04-05 15:00,148
132,안면도(감),2019-04-05 16:00,184
132,안면도(감),2019-04-05 17:00,152
132,안면도(감),2019-04-05 18:00,133
132,안면도(감),2019-04-05 19:00,120
132,안면도(감),2019-04-05 20:00,123
132,안면도(감),2019-04-05 21:00,129
132,안면도(감),2019-04-05 22:00,107
132,안면도(감),2019-04-05 23:00,90
132,안면도(감),2019-04-06 00:00,90
