지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
121,영월,2019-04-05 01:00,37
121,영월,2019-04-05 02:00,30
121,영월,2019-04-05 03:00,28
121,영월,2019-04-05 04:00,27
121,영월,2019-04-05 05:00,24
121,영월,2019-04-05 06:00,11
121,영월,2019-04-05 07:00,13
121,영월,2019-04-05 08:00,21
121,영월,2019-04-05 09:00,32
121,영월,2019-04-05 10:00,40
121,영월,2019-04-05 11:00,36
121,영월,2019-04-05 12:00,35
121,영월,2019-04-05 13:00,50
121,영월,2019-04-05 14:00,67
121,영월,2019-04-05 15:00,74
121,영월,2019-04-05 16:00,80
121,영월,2019-04-05 17:00,87
121,영월,2019-04-05 18:00,89
121,영월,2019-04-05 19:00,110
121,영월,2019-04-05 20:00,143
121,영월,2019-04-05 21:00,124
121,영월,2019-04-05 22:00,87
121,영월,2019-04-05 23:00,72
121,영월,2019-04-06 00:00,62
