지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
140,군산,2019-04-05 02:00,6
140,군산,2019-04-05 04:00,6
140,군산,2019-04-05 05:00,11
140,군산,2019-04-05 06:00,13
140,군산,2019-04-05 07:00,13
140,군산,2019-04-05 08:00,21
140,군산,2019-04-05 09:00,24
140,군산,2019-04-05 10:00,35
140,군산,2019-04-05 11:00,39
140,군산,2019-04-05 12:00,61
140,군산,2019-04-05 13:00,62
140,군산,2019-04-05 14:00,73
140,군산,2019-04-05 15:00,82
140,군산,2019-04-05 16:00,84
140,군산,2019-04-05 17:00,125
140,군산,2019-04-05 18:00,131
140,군산,2019-04-05 19:00,105
140,군산,2019-04-05 20:00,76
140,군산,2019-04-05 21:00,54
140,군산,2019-04-05 22:00,48
140,군산,2019-04-05 23:00,52
140,군산,2019-04-06 00:00,51
