지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
152,울산,2019-04-05 01:00,28
152,울산,2019-04-05 02:00,26
152,울산,2019-04-05 03:00,25
152,울산,2019-04-05 04:00,14
152,울산,2019-04-05 05:00,18
152,울산,2019-04-05 06:00,21
152,울산,2019-04-05 07:00,17
152,울산,2019-04-05 08:00,21
152,울산,2019-04-05 09:00,16
152,울산,2019-04-05 10:00,6
152,울산,2019-04-05 11:00,25
152,울산,2019-04-05 12:00,53
152,울산,2019-04-05 13:00,70
152,울산,2019-04-05 14:00,72
152,울산,2019-04-05 15:00,72
152,울산,2019-04-05 16:00,77
152,울산,2019-04-05 17:00,82
152,울산,2019-04-05 18:00,75
152,울산,2019-04-05 19:00,62
152,울산,2019-04-05 20:00,56
152,울산,2019-04-05 21:00,69
152,울산,2019-04-05 22:00,64
152,울산,2019-04-05 23:00,58
152,울산,2019-04-06 00:00,51
