1,37.495,127.06,47
2,37.55,127.15,46
3,37.639,127.01,36
4,37.561,126.82,42
5,37.468,126.95,59
6,37.546,127.09,56
7,37.495,126.86,46
8,37.46,126.9,41
9,37.653,127.07,36
10,37.669,127.03,37
11,37.582,127.06,45
12,37.498,126.95,49
13,37.56,126.91,47
14,37.578,126.94,48
15,37.474,127.03,60
16,37.551,127.04,61
17,37.606,127.02,44
18,37.504,127.11,54
19,37.525,126.85,46
20,37.522,126.91,58
21,37.531,126.98,43
22,37.618,126.93,38
23,37.595,126.98,39
24,37.564,127,43
25,37.599,127.09,44
26,37.813,127.44,58
27,37.406,127.26,82
28,37.245,126.98,65
29,37.806,127.08,77
30,37.591,127.13,109
31,37.63,127.21,98
32,37.759,126.77,91
33,37.267,127.12,79
34,37.237,127.2,90
35,37.215,126.8,110
36,37.519,126.78,129
37,37.45,127.16,75
38,37.348,126.94,137
39,37.241,126.58,79
40,37.454,126.79,99
41,37.612,127.14,111
42,37.209,127.08,80
43,37.665,127.11,133
44,37.427,127,142
45,37.924,127.07,143
46,37.462,127.14,122
47,37.291,126.87,134
48,37.667,127.11,159
49,37.007,127.28,94
50,37.32,126.96,100
51,37.342,126.96,104
52,37.862,127.16,107
53,37.475,126.79,122
54,37.44,126.88,108
55,37.085,127.05,115
56,35.777,126.92,90
57,37.411,126.92,93
58,37.39,126.93,113
59,37.256,127.07,80
60,37.151,127.07,105
61,37.538,126.78,148
62,37.523,127.59,38
63,37.728,126.74,70
64,37.39,127.05,91
65,37.328,126.8,73
66,37.312,126.79,92
67,37.723,126.55,105
68,37.745,127.05,108
69,37.739,127.05,107
70,37.353,126.74,104
71,37.363,127.12,109
72,37.671,126.76,101
73,37.496,126.77,125
74,37.437,126.98,54
75,37.283,127.45,68
76,37.297,126.98,75
77,37.478,126.87,91
78,37.619,126.84,100
79,37.381,126.96,116
80,37.265,126.95,88
81,37.311,126.83,77
82,37.653,127.32,96
83,37.609,126.67,122
84,37.545,126.72,139
85,37.392,126.71,101
86,37.449,126.71,120
87,37.405,126.73,95
88,37.405,126.66,80
89,37.496,126.72,85
90,37.505,126.67,93
91,37.38,126.65,74
92,37.475,126.65,84
93,37.473,126.68,106
94,37.463,126.65,70
95,37.47,126.63,91
96,37.546,126.67,74
97,37.468,126.46,57
98,37.594,126.7,76
99,37.532,126.62,82
100,38.223,127.31,111
101,37.411,129.17,52
102,37.3,127.81,38
103,37.326,127.99,56
104,38.383,128.46,96
105,37.861,127.75,69
106,38.21,128.58,142
107,38.019,128.6,76
108,37.187,128.52,65
109,37.758,128.9,40
110,37.374,128.65,50
111,37.363,127.95,63
112,37.35,127.95,75
113,37.521,129.1,66
114,37.172,128.98,50
115,37.369,128.39,60
116,37.664,127.87,53
117,38.149,127.71,92
118,37.519,128.12,59
119,36.48,127.08,57
120,36.096,127.47,84
121,36.658,126.74,64
122,36.2,127.09,63
123,36.889,126.64,103
124,36.945,126.43,72
125,36.354,126.58,69
126,36.739,126.9,101
127,36.989,126.35,79
128,36.786,126.46,70
129,36.912,127.04,101
130,36.783,127.02,92
131,36.755,127.06,71
132,36.821,127.11,95
133,36.285,126.94,53
134,36.158,126.55,64
135,36.084,126.7,52
136,36.874,127.19,85
137,36.941,126.68,116
138,36.279,127.22,57
139,36.66,126.81,90
140,36.018,126.69,23
141,36.38,126.55,40
