지점,지점명,일시,풍속(m/s),풍향(16방위)
170,완도,2019-04-05 01:00,4.5,270
170,완도,2019-04-05 02:00,4.4,270
170,완도,2019-04-05 03:00,3.9,270
170,완도,2019-04-05 04:00,4.5,270
170,완도,2019-04-05 05:00,4.4,270
170,완도,2019-04-05 06:00,2.4,290
170,완도,2019-04-05 07:00,2.9,270
170,완도,2019-04-05 08:00,3.2,270
170,완도,2019-04-05 09:00,4.5,290
170,완도,2019-04-05 10:00,2.7,290
170,완도,2019-04-05 11:00,4.5,290
170,완도,2019-04-05 12:00,4.5,270
170,완도,2019-04-05 13:00,6,290
170,완도,2019-04-05 14:00,7,290
170,완도,2019-04-05 15:00,5.7,290
170,완도,2019-04-05 16:00,4.7,270
170,완도,2019-04-05 17:00,4.6,270
170,완도,2019-04-05 18:00,3.6,250
170,완도,2019-04-05 19:00,3.7,270
170,완도,2019-04-05 20:00,2.6,270
170,완도,2019-04-05 21:00,.9,270
170,완도,2019-04-05 22:00,2,230
170,완도,2019-04-05 23:00,2,230
170,완도,2019-04-06 00:00,2.3,290
