지점,지점명,일시,풍속(m/s),풍향(16방위)
281,영천,2019-04-05 01:00,3.2,290
281,영천,2019-04-05 02:00,2.5,290
281,영천,2019-04-05 03:00,1.8,290
281,영천,2019-04-05 04:00,2,320
281,영천,2019-04-05 05:00,1.8,290
281,영천,2019-04-05 06:00,.8,290
281,영천,2019-04-05 07:00,0,0
281,영천,2019-04-05 08:00,1.5,90
281,영천,2019-04-05 09:00,2.5,250
281,영천,2019-04-05 10:00,3.4,270
281,영천,2019-04-05 11:00,3.4,290
281,영천,2019-04-05 12:00,3.1,290
281,영천,2019-04-05 13:00,4.7,320
281,영천,2019-04-05 14:00,5.7,320
281,영천,2019-04-05 15:00,5.7,320
281,영천,2019-04-05 16:00,5.8,320
281,영천,2019-04-05 17:00,4.7,290
281,영천,2019-04-05 18:00,2.8,290
281,영천,2019-04-05 19:00,2.4,290
281,영천,2019-04-05 20:00,2.3,290
281,영천,2019-04-05 21:00,2.6,290
281,영천,2019-04-05 22:00,3.6,320
281,영천,2019-04-05 23:00,3.3,290
281,영천,2019-04-06 00:00,2.1,320
