지점,지점명,일시,풍속(m/s),풍향(16방위)
203,이천,2019-04-05 01:00,.5,110
203,이천,2019-04-05 02:00,2.5,160
203,이천,2019-04-05 03:00,1.5,110
203,이천,2019-04-05 04:00,1.6,180
203,이천,2019-04-05 05:00,.4,0
203,이천,2019-04-05 06:00,.7,70
203,이천,2019-04-05 07:00,.3,0
203,이천,2019-04-05 08:00,.9,20
203,이천,2019-04-05 09:00,.6,70
203,이천,2019-04-05 10:00,1.1,110
203,이천,2019-04-05 11:00,1.7,200
203,이천,2019-04-05 12:00,4.2,250
203,이천,2019-04-05 13:00,4,270
203,이천,2019-04-05 14:00,4.9,230
203,이천,2019-04-05 15:00,4.7,250
203,이천,2019-04-05 16:00,4.1,270
203,이천,2019-04-05 17:00,4.2,270
203,이천,2019-04-05 18:00,4.1,250
203,이천,2019-04-05 19:00,3.6,250
203,이천,2019-04-05 20:00,1.8,200
203,이천,2019-04-05 21:00,3.5,250
203,이천,2019-04-05 22:00,3.3,250
203,이천,2019-04-05 23:00,3.5,230
203,이천,2019-04-06 00:00,2.4,250
