지점,지점명,일시,풍속(m/s),풍향(16방위)
235,보령,2019-04-05 01:00,4.6,180
235,보령,2019-04-05 02:00,5.1,180
235,보령,2019-04-05 03:00,5,180
235,보령,2019-04-05 04:00,5.5,180
235,보령,2019-04-05 05:00,4.8,180
235,보령,2019-04-05 06:00,5.1,180
235,보령,2019-04-05 07:00,5.7,180
235,보령,2019-04-05 08:00,4.5,200
235,보령,2019-04-05 09:00,4,200
235,보령,2019-04-05 10:00,4.5,200
235,보령,2019-04-05 11:00,4,200
235,보령,2019-04-05 12:00,2.9,200
235,보령,2019-04-05 13:00,2.5,200
235,보령,2019-04-05 14:00,3,230
235,보령,2019-04-05 15:00,1.7,270
235,보령,2019-04-05 16:00,1.1,250
235,보령,2019-04-05 17:00,.7,290
235,보령,2019-04-05 18:00,1.1,290
235,보령,2019-04-05 19:00,.4,0
235,보령,2019-04-05 20:00,.4,0
235,보령,2019-04-05 21:00,0,0
235,보령,2019-04-05 22:00,.1,0
235,보령,2019-04-05 23:00,.7,90
235,보령,2019-04-06 00:00,.3,0
