지점,지점명,일시,풍속(m/s),풍향(16방위)
258,보성군,2019-04-05 01:00,1.2,250
258,보성군,2019-04-05 02:00,1.3,250
258,보성군,2019-04-05 03:00,1.7,250
258,보성군,2019-04-05 04:00,2,250
258,보성군,2019-04-05 05:00,2.7,250
258,보성군,2019-04-05 06:00,2.4,250
258,보성군,2019-04-05 07:00,1.8,250
258,보성군,2019-04-05 08:00,1.5,230
258,보성군,2019-04-05 09:00,2.6,290
258,보성군,2019-04-05 10:00,4.3,180
258,보성군,2019-04-05 11:00,6.1,180
258,보성군,2019-04-05 12:00,6.7,340
258,보성군,2019-04-05 13:00,6.2,270
258,보성군,2019-04-05 14:00,5,290
258,보성군,2019-04-05 15:00,5.4,320
258,보성군,2019-04-05 16:00,5.9,290
258,보성군,2019-04-05 17:00,4.7,290
258,보성군,2019-04-05 18:00,4.7,290
258,보성군,2019-04-05 19:00,3.2,290
258,보성군,2019-04-05 20:00,1.6,290
258,보성군,2019-04-05 21:00,2.6,270
258,보성군,2019-04-05 22:00,3.4,290
258,보성군,2019-04-05 23:00,4,290
258,보성군,2019-04-06 00:00,4.6,270
