지점,지점명,일시,풍속(m/s),풍향(16방위)
185,고산,2019-04-05 01:00,4.6,290
185,고산,2019-04-05 02:00,5,290
185,고산,2019-04-05 03:00,5.3,290
185,고산,2019-04-05 04:00,4.7,290
185,고산,2019-04-05 05:00,4.1,290
185,고산,2019-04-05 06:00,3.9,320
185,고산,2019-04-05 07:00,3.2,320
185,고산,2019-04-05 08:00,4.1,340
185,고산,2019-04-05 09:00,4.2,360
185,고산,2019-04-05 10:00,4.6,340
185,고산,2019-04-05 11:00,4.7,360
185,고산,2019-04-05 12:00,4,340
185,고산,2019-04-05 13:00,4.9,340
185,고산,2019-04-05 14:00,5.1,360
185,고산,2019-04-05 15:00,5.2,340
185,고산,2019-04-05 16:00,5,360
185,고산,2019-04-05 17:00,5.9,360
185,고산,2019-04-05 18:00,4.5,360
185,고산,2019-04-05 19:00,3.7,360
185,고산,2019-04-05 20:00,2.5,360
185,고산,2019-04-05 21:00,3,320
185,고산,2019-04-05 22:00,4.5,340
185,고산,2019-04-05 23:00,4.4,360
185,고산,2019-04-06 00:00,3.5,360
