지점,지점명,일시,풍속(m/s),풍향(16방위)
162,통영,2019-04-05 01:00,3,200
162,통영,2019-04-05 02:00,2.6,200
162,통영,2019-04-05 03:00,3.6,230
162,통영,2019-04-05 04:00,5.9,230
162,통영,2019-04-05 05:00,6,230
162,통영,2019-04-05 06:00,3.1,250
162,통영,2019-04-05 07:00,2.9,160
162,통영,2019-04-05 08:00,2.9,200
162,통영,2019-04-05 09:00,4.1,180
162,통영,2019-04-05 10:00,3.3,180
162,통영,2019-04-05 11:00,4.7,180
162,통영,2019-04-05 12:00,4.7,230
162,통영,2019-04-05 13:00,4.4,230
162,통영,2019-04-05 14:00,4.9,230
162,통영,2019-04-05 15:00,5.9,230
162,통영,2019-04-05 16:00,4.9,230
162,통영,2019-04-05 17:00,6.7,230
162,통영,2019-04-05 18:00,5.7,230
162,통영,2019-04-05 19:00,2,250
162,통영,2019-04-05 20:00,2,230
162,통영,2019-04-05 21:00,1.3,180
162,통영,2019-04-05 22:00,1.2,140
162,통영,2019-04-05 23:00,.7,110
162,통영,2019-04-06 00:00,.8,140
