지점,지점명,일시,풍속(m/s),풍향(16방위)
279,구미,2019-04-05 01:00,.8,290
279,구미,2019-04-05 02:00,.9,270
279,구미,2019-04-05 03:00,1.1,290
279,구미,2019-04-05 04:00,.4,0
279,구미,2019-04-05 05:00,.8,290
279,구미,2019-04-05 06:00,.3,0
279,구미,2019-04-05 07:00,.3,0
279,구미,2019-04-05 08:00,1.2,70
279,구미,2019-04-05 09:00,1.3,70
279,구미,2019-04-05 10:00,1,340
279,구미,2019-04-05 11:00,3.2,290
279,구미,2019-04-05 12:00,4.1,320
279,구미,2019-04-05 13:00,2.8,270
279,구미,2019-04-05 14:00,2.4,320
279,구미,2019-04-05 15:00,3,290
279,구미,2019-04-05 16:00,3.7,290
279,구미,2019-04-05 17:00,2.8,290
279,구미,2019-04-05 18:00,1.8,320
279,구미,2019-04-05 19:00,2.7,290
279,구미,2019-04-05 20:00,2.7,290
279,구미,2019-04-05 21:00,2.7,290
279,구미,2019-04-05 22:00,3.2,290
279,구미,2019-04-05 23:00,2.6,290
279,구미,2019-04-06 00:00,1.4,320
