ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§)
115,¿ï¸ªµµ,2019-04-05 01:00,10.9,230
115,¿ï¸ªµµ,2019-04-05 02:00,10.3,230
115,¿ï¸ªµµ,2019-04-05 03:00,11.9,230
115,¿ï¸ªµµ,2019-04-05 04:00,11,230
115,¿ï¸ªµµ,2019-04-05 05:00,9.4,230
115,¿ï¸ªµµ,2019-04-05 06:00,10.3,230
115,¿ï¸ªµµ,2019-04-05 07:00,8.9,200
115,¿ï¸ªµµ,2019-04-05 08:00,9.9,200
115,¿ï¸ªµµ,2019-04-05 09:00,8.4,230
115,¿ï¸ªµµ,2019-04-05 10:00,8.5,230
115,¿ï¸ªµµ,2019-04-05 11:00,10.3,200
115,¿ï¸ªµµ,2019-04-05 12:00,7.4,200
115,¿ï¸ªµµ,2019-04-05 13:00,9.2,230
115,¿ï¸ªµµ,2019-04-05 14:00,6.5,230
115,¿ï¸ªµµ,2019-04-05 15:00,4.6,340
115,¿ï¸ªµµ,2019-04-05 16:00,4.7,340
115,¿ï¸ªµµ,2019-04-05 17:00,3.5,340
115,¿ï¸ªµµ,2019-04-05 18:00,6.3,360
115,¿ï¸ªµµ,2019-04-05 19:00,7.4,20
115,¿ï¸ªµµ,2019-04-05 20:00,7.4,20
115,¿ï¸ªµµ,2019-04-05 21:00,6.2,20
115,¿ï¸ªµµ,2019-04-05 22:00,3.3,360
115,¿ï¸ªµµ,2019-04-05 23:00,.8,70
115,¿ï¸ªµµ,2019-04-06 00:00,3.5,340
