지점,지점명,일시,풍속(m/s),풍향(16방위)
221,제천,2019-04-05 01:00,1.6,230
221,제천,2019-04-05 02:00,3.3,250
221,제천,2019-04-05 03:00,1.9,250
221,제천,2019-04-05 04:00,1.1,250
221,제천,2019-04-05 05:00,1,270
221,제천,2019-04-05 06:00,1.3,270
221,제천,2019-04-05 07:00,1.3,250
221,제천,2019-04-05 08:00,1.3,270
221,제천,2019-04-05 09:00,1.8,250
221,제천,2019-04-05 10:00,2.3,230
221,제천,2019-04-05 11:00,3,230
221,제천,2019-04-05 12:00,4.7,230
221,제천,2019-04-05 13:00,5.1,250
221,제천,2019-04-05 14:00,4.9,250
221,제천,2019-04-05 15:00,5.4,270
221,제천,2019-04-05 16:00,4.9,270
221,제천,2019-04-05 17:00,4.4,250
221,제천,2019-04-05 18:00,5,250
221,제천,2019-04-05 19:00,4.4,270
221,제천,2019-04-05 20:00,3.9,270
221,제천,2019-04-05 21:00,2.5,230
221,제천,2019-04-05 22:00,2.4,250
221,제천,2019-04-05 23:00,1.2,20
221,제천,2019-04-06 00:00,1.2,20
