지점,지점명,일시,풍속(m/s),풍향(16방위)
243,부안,2019-04-05 01:00,2,180
243,부안,2019-04-05 02:00,2.6,160
243,부안,2019-04-05 03:00,3,180
243,부안,2019-04-05 04:00,2.5,160
243,부안,2019-04-05 05:00,3.6,140
243,부안,2019-04-05 06:00,3.7,160
243,부안,2019-04-05 07:00,4.1,180
243,부안,2019-04-05 08:00,4.9,180
243,부안,2019-04-05 09:00,5.3,180
243,부안,2019-04-05 10:00,5.1,250
243,부안,2019-04-05 11:00,4.6,250
243,부안,2019-04-05 12:00,3.9,270
243,부안,2019-04-05 13:00,1.9,250
243,부안,2019-04-05 14:00,3.2,270
243,부안,2019-04-05 15:00,4.1,270
243,부안,2019-04-05 16:00,3.7,270
243,부안,2019-04-05 17:00,3.8,270
243,부안,2019-04-05 18:00,2.9,250
243,부안,2019-04-05 19:00,2.8,270
243,부안,2019-04-05 20:00,0,0
243,부안,2019-04-05 21:00,0,0
243,부안,2019-04-05 22:00,0,0
243,부안,2019-04-05 23:00,0,0
243,부안,2019-04-06 00:00,0,0
