지점,지점명,일시,풍속(m/s),풍향(16방위)
165,목포,2019-04-05 01:00,2.5,180
165,목포,2019-04-05 02:00,2.7,160
165,목포,2019-04-05 03:00,2.8,160
165,목포,2019-04-05 04:00,3.2,180
165,목포,2019-04-05 05:00,1.6,160
165,목포,2019-04-05 06:00,2.3,180
165,목포,2019-04-05 07:00,3.9,200
165,목포,2019-04-05 08:00,4.1,250
165,목포,2019-04-05 09:00,3.5,250
165,목포,2019-04-05 10:00,3,270
165,목포,2019-04-05 11:00,2.9,270
165,목포,2019-04-05 12:00,4.2,320
165,목포,2019-04-05 13:00,5,320
165,목포,2019-04-05 14:00,5.2,320
165,목포,2019-04-05 15:00,4.5,340
165,목포,2019-04-05 16:00,4,320
165,목포,2019-04-05 17:00,3.8,340
165,목포,2019-04-05 18:00,4.7,360
165,목포,2019-04-05 19:00,4,20
165,목포,2019-04-05 20:00,3.1,360
165,목포,2019-04-05 21:00,3.2,360
165,목포,2019-04-05 22:00,2,360
165,목포,2019-04-05 23:00,1.8,360
165,목포,2019-04-06 00:00,.4,0
