지점,지점명,일시,풍속(m/s),풍향(16방위)
146,전주,2019-04-05 01:00,1.9,140
146,전주,2019-04-05 02:00,1.1,140
146,전주,2019-04-05 03:00,1.3,140
146,전주,2019-04-05 04:00,1.8,140
146,전주,2019-04-05 05:00,2.6,140
146,전주,2019-04-05 06:00,2.1,140
146,전주,2019-04-05 07:00,2.5,140
146,전주,2019-04-05 08:00,1.4,140
146,전주,2019-04-05 09:00,1.4,160
146,전주,2019-04-05 10:00,2.3,230
146,전주,2019-04-05 11:00,2.6,250
146,전주,2019-04-05 12:00,2.3,270
146,전주,2019-04-05 13:00,2.7,230
146,전주,2019-04-05 14:00,3,270
146,전주,2019-04-05 15:00,3.8,270
146,전주,2019-04-05 16:00,4,270
146,전주,2019-04-05 17:00,3.5,250
146,전주,2019-04-05 18:00,4.9,250
146,전주,2019-04-05 19:00,3,230
146,전주,2019-04-05 20:00,2.9,230
146,전주,2019-04-05 21:00,3,230
146,전주,2019-04-05 22:00,3.1,250
146,전주,2019-04-05 23:00,.8,230
146,전주,2019-04-06 00:00,1.3,110
